dataset,horizon,seed,variant,mse_norm,mae_norm
ETTh1,96,2021,SRSNet,0.4366426914119069,0.4534387993640784
ETTh1,96,2022,SRSNet,0.4359045852627272,0.4523278489682117
ETTh1,96,2023,SRSNet,0.4363342735989018,0.4534026726776012
ETTh1,96,2024,SRSNet,0.436505509635173,0.4536189580077079
ETTh1,96,2025,SRSNet,0.435578582803212,0.4535077345307027
ETTh1,96,2021,SRSNet_HypernetAF,0.435281099285939,0.452771581739316
ETTh1,96,2022,SRSNet_HypernetAF,0.4362663616957177,0.4530659568678124
ETTh1,96,2023,SRSNet_HypernetAF,0.4361658506667383,0.4535351221828929
ETTh1,96,2024,SRSNet_HypernetAF,0.4360137926086692,0.4530187934829214
ETTh1,96,2025,SRSNet_HypernetAF,0.4361627397076445,0.4528306538893984
ETTh1,96,2021,SRSNet_RandomSP,0.4354400471285085,0.4521403569462202
ETTh1,96,2022,SRSNet_RandomSP,0.4360799222660866,0.4520475477499425
ETTh1,96,2023,SRSNet_RandomSP,0.4357779614032606,0.4521414002447574
ETTh1,96,2024,SRSNet_RandomSP,0.4361887176473289,0.4520941399151099
ETTh1,96,2025,SRSNet_RandomSP,0.4364194086801576,0.452295356155748
ETTh1,96,2021,SRSNet_RandomSPNoShuffle,0.4359120187243896,0.4519065945369319
ETTh1,96,2022,SRSNet_RandomSPNoShuffle,0.4360415993538671,0.4518894458316106
ETTh1,96,2023,SRSNet_RandomSPNoShuffle,0.4359683183372778,0.4519106500449557
ETTh1,96,2024,SRSNet_RandomSPNoShuffle,0.4360843880007954,0.452067338489441
ETTh1,96,2025,SRSNet_RandomSPNoShuffle,0.436484278390246,0.4523222687958219
ETTh1,96,2021,SRSNet_TASP,0.4365313129601943,0.4532398085389515
ETTh1,96,2022,SRSNet_TASP,0.4376461948231384,0.4535074563331193
ETTh1,96,2023,SRSNet_TASP,0.4365196241140072,0.4529707735084088
ETTh1,96,2024,SRSNet_TASP,0.4363256720558184,0.4525030534420755
ETTh1,96,2025,SRSNet_TASP,0.4370171335789598,0.4529946212830311
ETTh1,192,2021,SRSNet,0.4809570952288964,0.4842584741038947
ETTh1,192,2022,SRSNet,0.4824861681898836,0.4846747351980746
ETTh1,192,2023,SRSNet,0.4830685037974203,0.4862110819312303
ETTh1,192,2024,SRSNet,0.4870943872399344,0.4919297488988444
ETTh1,192,2025,SRSNet,0.4860949212909213,0.4899645585765914
ETTh1,192,2021,SRSNet_HypernetAF,0.4899506689893472,0.4934496917012263
ETTh1,192,2022,SRSNet_HypernetAF,0.4831987084115189,0.4860144763583767
ETTh1,192,2023,SRSNet_HypernetAF,0.4902704770222877,0.4939473217975326
ETTh1,192,2024,SRSNet_HypernetAF,0.4831497824103088,0.4856758322750415
ETTh1,192,2025,SRSNet_HypernetAF,0.4930726570400788,0.4966970222934393
ETTh1,192,2021,SRSNet_RandomSP,0.4820308279831308,0.484151692316725
ETTh1,192,2022,SRSNet_RandomSP,0.4821285705450858,0.4841965892017207
ETTh1,192,2023,SRSNet_RandomSP,0.4818718046052268,0.4838362765559868
ETTh1,192,2024,SRSNet_RandomSP,0.4815207271639761,0.4837529604367268
ETTh1,192,2025,SRSNet_RandomSP,0.482702199951944,0.4848523048143968
ETTh1,192,2021,SRSNet_RandomSPNoShuffle,0.4815031151127627,0.4835452697064523
ETTh1,192,2022,SRSNet_RandomSPNoShuffle,0.4816297618082639,0.4836707127693493
ETTh1,192,2023,SRSNet_RandomSPNoShuffle,0.4815345331270168,0.4836077000124197
ETTh1,192,2024,SRSNet_RandomSPNoShuffle,0.4815634948004849,0.4835500094797988
ETTh1,192,2025,SRSNet_RandomSPNoShuffle,0.4829073296246711,0.4848832196850848
ETTh1,192,2021,SRSNet_TASP,0.4840728098809433,0.4868181805439383
ETTh1,192,2022,SRSNet_TASP,0.4836672040508238,0.4863001109807789
ETTh1,192,2023,SRSNet_TASP,0.4831858087100592,0.485448873747296
ETTh1,192,2024,SRSNet_TASP,0.4835273937356908,0.4854206862573624
ETTh1,192,2025,SRSNet_TASP,0.4834935122561798,0.4853683029697218
ETTh1,336,2021,SRSNet,0.5365926763120794,0.5226911042725501
ETTh1,336,2022,SRSNet,0.5285032345070837,0.5173026359191554
ETTh1,336,2023,SRSNet,0.5287178736873692,0.517205979103366
ETTh1,336,2024,SRSNet,0.528134633919907,0.516693182720975
ETTh1,336,2025,SRSNet,0.5299627212069444,0.5180773282820561
ETTh1,336,2021,SRSNet_HypernetAF,0.5293608258705192,0.5184189400297521
ETTh1,336,2022,SRSNet_HypernetAF,0.5294445449840642,0.5180214814631054
ETTh1,336,2023,SRSNet_HypernetAF,0.5274402545372131,0.5176314375294746
ETTh1,336,2024,SRSNet_HypernetAF,0.5343082824963965,0.5229397741036963
ETTh1,336,2025,SRSNet_HypernetAF,0.5310578825853094,0.5193732790202115
ETTh1,336,2021,SRSNet_RandomSP,0.5399234718256248,0.5226226946714634
ETTh1,336,2022,SRSNet_RandomSP,0.5333082751834906,0.5212420527098212
ETTh1,336,2023,SRSNet_RandomSP,0.5284746092890773,0.5173561477118959
ETTh1,336,2024,SRSNet_RandomSP,0.5360230143473275,0.5207200628398767
ETTh1,336,2025,SRSNet_RandomSP,0.528136129833589,0.5165752566548302
ETTh1,336,2021,SRSNet_RandomSPNoShuffle,0.5398888584409198,0.5225812774522803
ETTh1,336,2022,SRSNet_RandomSPNoShuffle,0.5332610600149469,0.5211665673268847
ETTh1,336,2023,SRSNet_RandomSPNoShuffle,0.5284981694564806,0.5173674042744424
ETTh1,336,2024,SRSNet_RandomSPNoShuffle,0.5360986934660154,0.5205892078775395
ETTh1,336,2025,SRSNet_RandomSPNoShuffle,0.5281204893888837,0.5164948224163777
ETTh1,336,2021,SRSNet_TASP,0.5372931125741562,0.5232400424592482
ETTh1,336,2022,SRSNet_TASP,0.5438498832472749,0.5277272934180673
ETTh1,336,2023,SRSNet_TASP,0.528053822600437,0.516767844871881
ETTh1,336,2024,SRSNet_TASP,0.5286981836967263,0.5174618031649849
ETTh1,336,2025,SRSNet_TASP,0.5318621287827194,0.5179656188835505
ETTh1,720,2021,SRSNet,0.6587214299505665,0.6028989680872331
ETTh1,720,2022,SRSNet,0.6621414424600958,0.606488203874889
ETTh1,720,2023,SRSNet,0.6581321479455414,0.6033352374299534
ETTh1,720,2024,SRSNet,0.6643213991343127,0.6065380260164674
ETTh1,720,2025,SRSNet,0.6598437497267214,0.6039146256035781
ETTh1,720,2021,SRSNet_HypernetAF,0.6649913576016098,0.6080086556740386
ETTh1,720,2022,SRSNet_HypernetAF,0.6631553216253601,0.6043739967556326
ETTh1,720,2023,SRSNet_HypernetAF,0.6618768250641803,0.6062486552925326
ETTh1,720,2024,SRSNet_HypernetAF,0.6613607261051155,0.6047262500735037
ETTh1,720,2025,SRSNet_HypernetAF,0.6596733808209767,0.6041693371901683
ETTh1,720,2021,SRSNet_RandomSP,0.6541340756636375,0.5990612679424323
ETTh1,720,2022,SRSNet_RandomSP,0.6527133538787917,0.5988878749390031
ETTh1,720,2023,SRSNet_RandomSP,0.6541597292102724,0.5998111978486409
ETTh1,720,2024,SRSNet_RandomSP,0.6515926913293822,0.597955658668576
ETTh1,720,2025,SRSNet_RandomSP,0.6601050855682105,0.6037172005654236
ETTh1,720,2021,SRSNet_RandomSPNoShuffle,0.6534525778180784,0.5984663772348071
ETTh1,720,2022,SRSNet_RandomSPNoShuffle,0.6526133085641221,0.5984834575313436
ETTh1,720,2023,SRSNet_RandomSPNoShuffle,0.6524075324735089,0.5984211813128492
ETTh1,720,2024,SRSNet_RandomSPNoShuffle,0.6525727668681558,0.5984213347273268
ETTh1,720,2025,SRSNet_RandomSPNoShuffle,0.6559137743787491,0.6012361728705647
ETTh1,720,2021,SRSNet_TASP,0.6501963265525511,0.5978676667863188
ETTh1,720,2022,SRSNet_TASP,0.650500192386134,0.5978885792265548
ETTh1,720,2023,SRSNet_TASP,0.6578000568386461,0.6013603569710809
ETTh1,720,2024,SRSNet_TASP,0.6496596896154717,0.5970839701140398
ETTh1,720,2025,SRSNet_TASP,0.6583015550781889,0.6026264031464956
ETTh2,96,2021,SRSNet,0.225128693696441,0.3227971882014314
ETTh2,96,2022,SRSNet,0.2274597336299902,0.3224931291576585
ETTh2,96,2023,SRSNet,0.2232658846178575,0.3203186977174495
ETTh2,96,2024,SRSNet,0.225659101771662,0.321319828149765
ETTh2,96,2025,SRSNet,0.2257352350938029,0.3204805875183292
ETTh2,96,2021,SRSNet_HypernetAF,0.2190323151685903,0.3170657119115426
ETTh2,96,2022,SRSNet_HypernetAF,0.2199843180546868,0.3172178564153584
ETTh2,96,2023,SRSNet_HypernetAF,0.2187320307315303,0.3161381955543609
ETTh2,96,2024,SRSNet_HypernetAF,0.2188847881105677,0.3166845396026194
ETTh2,96,2025,SRSNet_HypernetAF,0.2199600222759081,0.3175557285749762
ETTh2,96,2021,SRSNet_RandomSP,0.2179545498895919,0.3155728787176704
ETTh2,96,2022,SRSNet_RandomSP,0.2196090725935865,0.3165541384042745
ETTh2,96,2023,SRSNet_RandomSP,0.2218464474363844,0.3188463544450207
ETTh2,96,2024,SRSNet_RandomSP,0.2190720595652821,0.3147408728514689
ETTh2,96,2025,SRSNet_RandomSP,0.2189419604630542,0.3167843842457748
ETTh2,96,2021,SRSNet_RandomSPNoShuffle,0.2172410945020638,0.3152204210749007
ETTh2,96,2022,SRSNet_RandomSPNoShuffle,0.2172939384213035,0.3153557396651327
ETTh2,96,2023,SRSNet_RandomSPNoShuffle,0.2175490139994338,0.3155830046640819
ETTh2,96,2024,SRSNet_RandomSPNoShuffle,0.2171726748617348,0.3140017920470109
ETTh2,96,2025,SRSNet_RandomSPNoShuffle,0.2174277948919039,0.3154696525657017
ETTh2,96,2021,SRSNet_TASP,0.2216590982166053,0.3175792636188131
ETTh2,96,2022,SRSNet_TASP,0.2141711856618328,0.3136104357246606
ETTh2,96,2023,SRSNet_TASP,0.2182510107955656,0.3161556559740226
ETTh2,96,2024,SRSNet_TASP,0.2220230856540931,0.3185737192612441
ETTh2,96,2025,SRSNet_TASP,0.2194878087448436,0.317579655184768
ETTh2,192,2021,SRSNet,0.2803442553231224,0.3593069753058101
ETTh2,192,2022,SRSNet,0.2866495404912356,0.365925574136005
ETTh2,192,2023,SRSNet,0.2793828826566845,0.3601633484383843
ETTh2,192,2024,SRSNet,0.2883183353581345,0.3677215235113537
ETTh2,192,2025,SRSNet,0.2853939320705204,0.3656982932181634
ETTh2,192,2021,SRSNet_HypernetAF,0.279460870542567,0.3610167144600358
ETTh2,192,2022,SRSNet_HypernetAF,0.277097240987969,0.3589645491159156
ETTh2,192,2023,SRSNet_HypernetAF,0.2719859068833904,0.3546370158247596
ETTh2,192,2024,SRSNet_HypernetAF,0.2755471775328645,0.3579181790690521
ETTh2,192,2025,SRSNet_HypernetAF,0.2846210295319173,0.3644225918086389
ETTh2,192,2021,SRSNet_RandomSP,0.279640027912964,0.3601795376664459
ETTh2,192,2022,SRSNet_RandomSP,0.2749098929612837,0.3564952703125305
ETTh2,192,2023,SRSNet_RandomSP,0.2758169113095615,0.3574775192090682
ETTh2,192,2024,SRSNet_RandomSP,0.2804854386924911,0.3609616675164171
ETTh2,192,2025,SRSNet_RandomSP,0.2785398829891276,0.3592090437354068
ETTh2,192,2021,SRSNet_RandomSPNoShuffle,0.2757865802726429,0.3572870450455347
ETTh2,192,2022,SRSNet_RandomSPNoShuffle,0.2724928634301675,0.3547661970892271
ETTh2,192,2023,SRSNet_RandomSPNoShuffle,0.2750689612528977,0.3572765807919777
ETTh2,192,2024,SRSNet_RandomSPNoShuffle,0.2782747755151385,0.3596939927062998
ETTh2,192,2025,SRSNet_RandomSPNoShuffle,0.2761854395289286,0.3582235499431843
ETTh2,192,2021,SRSNet_TASP,0.2720537129282973,0.3557970379559371
ETTh2,192,2022,SRSNet_TASP,0.2781262179520842,0.3582719424056336
ETTh2,192,2023,SRSNet_TASP,0.2804763252532319,0.3590117427060319
ETTh2,192,2024,SRSNet_TASP,0.2752824111310059,0.3559691525853702
ETTh2,192,2025,SRSNet_TASP,0.2777841803026885,0.3597243298093497
ETTh2,336,2021,SRSNet,0.3265620904301895,0.3893252378168312
ETTh2,336,2022,SRSNet,0.3209963691190963,0.386683501800297
ETTh2,336,2023,SRSNet,0.3307908305179006,0.3932196104870292
ETTh2,336,2024,SRSNet,0.3149875371498327,0.3845450575588078
ETTh2,336,2025,SRSNet,0.324647268726279,0.390015827656596
ETTh2,336,2021,SRSNet_HypernetAF,0.3173661683369122,0.38402783299376
ETTh2,336,2022,SRSNet_HypernetAF,0.3162875513850711,0.3834314362940301
ETTh2,336,2023,SRSNet_HypernetAF,0.3132206457214535,0.3817170770850362
ETTh2,336,2024,SRSNet_HypernetAF,0.3151647692781776,0.382537086736094
ETTh2,336,2025,SRSNet_HypernetAF,0.3161856124690989,0.382997925513092
ETTh2,336,2021,SRSNet_RandomSP,0.3144849825925848,0.3813062347656997
ETTh2,336,2022,SRSNet_RandomSP,0.3135964637492224,0.3807951413520031
ETTh2,336,2023,SRSNet_RandomSP,0.3168417351246609,0.3836736109527631
ETTh2,336,2024,SRSNet_RandomSP,0.3180801672762596,0.3850397199668057
ETTh2,336,2025,SRSNet_RandomSP,0.3181193163981906,0.3846803516047619
ETTh2,336,2021,SRSNet_RandomSPNoShuffle,0.3126786208570646,0.3808315377934357
ETTh2,336,2022,SRSNet_RandomSPNoShuffle,0.3128777915620473,0.3809361017396231
ETTh2,336,2023,SRSNet_RandomSPNoShuffle,0.3126395308457182,0.380789352821635
ETTh2,336,2024,SRSNet_RandomSPNoShuffle,0.313008267061222,0.3810541979218125
ETTh2,336,2025,SRSNet_RandomSPNoShuffle,0.3130981701910866,0.3811053757622231
ETTh2,336,2021,SRSNet_TASP,0.3174547234010632,0.3831939939074654
ETTh2,336,2022,SRSNet_TASP,0.3153372038104583,0.3823563670280576
ETTh2,336,2023,SRSNet_TASP,0.3160272679720293,0.3830827221573095
ETTh2,336,2024,SRSNet_TASP,0.3114516634165907,0.380175079696643
ETTh2,336,2025,SRSNet_TASP,0.316731302268093,0.3844658500958428
ETTh2,720,2021,SRSNet,0.421105217821042,0.446254403255685
ETTh2,720,2022,SRSNet,0.4286980332802038,0.4536455085439399
ETTh2,720,2023,SRSNet,0.409724824648548,0.4360687955486979
ETTh2,720,2024,SRSNet,0.3988673136022992,0.4326214731398846
ETTh2,720,2025,SRSNet,0.4099273159922433,0.4394053534953447
ETTh2,720,2021,SRSNet_HypernetAF,0.4361824529894079,0.4563619507810145
ETTh2,720,2022,SRSNet_HypernetAF,0.4036961382504521,0.4363427393433808
ETTh2,720,2023,SRSNet_HypernetAF,0.4016978589252965,0.4341347438591713
ETTh2,720,2024,SRSNet_HypernetAF,0.4172023810846982,0.4455544032547867
ETTh2,720,2025,SRSNet_HypernetAF,0.4000739205033161,0.4337242152153175
ETTh2,720,2021,SRSNet_RandomSP,0.4188245564087438,0.4466782017795362
ETTh2,720,2022,SRSNet_RandomSP,0.4053683071347164,0.4378687348117824
ETTh2,720,2023,SRSNet_RandomSP,0.4129014655184426,0.4426433074626314
ETTh2,720,2024,SRSNet_RandomSP,0.4245066728074891,0.4501410266553733
ETTh2,720,2025,SRSNet_RandomSP,0.4135411848377454,0.4438066196138119
ETTh2,720,2021,SRSNet_RandomSPNoShuffle,0.4197267833948404,0.4459101943924007
ETTh2,720,2022,SRSNet_RandomSPNoShuffle,0.402964989934078,0.4355714833190645
ETTh2,720,2023,SRSNet_RandomSPNoShuffle,0.4133914662326794,0.4420080924397605
ETTh2,720,2024,SRSNet_RandomSPNoShuffle,0.4273422778891189,0.4507104235399231
ETTh2,720,2025,SRSNet_RandomSPNoShuffle,0.4143730805289742,0.4432550235083631
ETTh2,720,2021,SRSNet_TASP,0.4019494478792531,0.4355804286720454
ETTh2,720,2022,SRSNet_TASP,0.4192102494513615,0.4462810276171777
ETTh2,720,2023,SRSNet_TASP,0.394540731465816,0.4285749344583844
ETTh2,720,2024,SRSNet_TASP,0.3925911611670916,0.4300762458974631
